month,gender,years,rol,sector,n_employees,lf_job,employment_source,n_weeks_lf_job,edu_lvl,etnicity,1st_source,total
FEB,f,58,,,,,, ,,,3000,4900
FEB,m,63,,,,,, ,,,2500,3200
FEB,f,33,,,,,, ,,,1230,2230
FEB,f,38,,,,,, ,,,1030,1530
FEB,m,34,,,,,, ,,,1299,2449
FEB,f,40,,,,,, ,,,1160,1780
FEB,f,53,,,,,, ,,,879,1429
FEB,m,40,,,,,, ,,,1750,1905
FEB,f,55,,,,,, ,,,4500,5100
FEB,f,50,,,,,, ,,,1600,2400
FEB,f,57,,,,,, ,,,329,829
FEB,f,39,,,,,, ,,,445,825
FEB,f,48,,,,,, ,,,5000,6070
FEB,f,45,,,,,, ,,,847,1407
FEB,f,55,,,,,, ,,,189,399
FEB,f,33,,,,,, ,,,1689,2139
FEB,f,30,,,,,, ,,,1690,1890
FEB,f,46,,,,,, ,,,900,1100
FEB,f,63,,,,,, ,,,1200,1350
FEB,f,34,,,,,, ,,,2372,2472
FEB,f,53,,,,,, ,,,1000,1850
FEB,f,61,,,,,, ,,,2198,2328
FEB,f,53,,,,,, ,,,1140,1780
FEB,f,61,,,,,, ,,,615,805
FEB,f,38,,,,,, ,,,65,195
FEB,f,38,,,,,, ,,,720,1270
FEB,f,68,,,,,, ,,,687,1307
FEB,f,30,,,,,, ,,,1083,1501
FEB,m,38,,,,,, ,,,1500,1815
FEB,m,60,,,,,, ,,,3000,4012
FEB,f,24,,,,,, ,,,2200,2812
FEB,f,53,,,,,, ,,,1200,1710
FEB,f,44,,,,,, ,,,630,840
FEB,f,44,,,,,, ,,,1040,1250
FEB,f,77,,,,,, ,,,480,528
FEB,f,36,,,,,, ,,,2800,3425
FEB,f,56,,,,,, ,,,537,1632
FEB,f,32,,,,,, ,,,754,1058
FEB,f,37,,,,,, ,,,235,445
FEB,m,30,,,,,, ,,,1504,2091
FEB,f,49,,,,,, ,,,930,1497
FEB,m,41,,,,,, ,,,30000,30000
FEB,f,25,,,,,, ,,,10000,10000
FEB,m,53,,,,,, ,,,10000,10000
FEB,m,53,,,,,, ,,,10000,10000
FEB,m,42,,,,,, ,,,10000,10000
FEB,m,39,,,,,, ,,,10000,10000
FEB,m,57,,,,,, ,,,9900,9900
FEB,m,51,,,,,, ,,,8150,10150
FEB,f,54,,,,,, ,,,8100,8100
FEB,m,56,,,,,, ,,,7000,7000
FEB,m,67,,,,,, ,,,6700,6700
FEB,f,49,,,,,, ,,,5985,5985
FEB,f,68,,,,,, ,,,5614,5614
FEB,f,74,,,,,, ,,,5484,5484
FEB,m,42,,,,,, ,,,5300,8300
FEB,m,37,,,,,, ,,,5000,13000
FEB,m,41,,,,,, ,,,5000,5000
FEB,m,39,,,,,, ,,,5000,5000
FEB,m,44,,,,,, ,,,5000,5000
FEB,m,42,,,,,, ,,,5000,5000
FEB,m,33,,,,,, ,,,5000,13000
FEB,m,56,,,,,, ,,,5000,5000
FEB,f,51,,,,,, ,,,5050,5050
FEB,m,67,,,,,, ,,,5000,5000
FEB,f,52,,,,,, ,,,5000,5000
FEB,f,27,,,,,, ,,,4700,4700
FEB,m,30,,,,,, ,,,4500,4500
FEB,m,54,,,,,, ,,,4463,4463
FEB,m,63,,,,,, ,,,4250,4250
FEB,m,51,,,,,, ,,,4150,4150
FEB,f,48,,,,,, ,,,4000,4000
FEB,f,41,,,,,, ,,,4000,4000
FEB,m,52,,,,,, ,,,4000,4000
FEB,m,60,,,,,, ,,,3976,3976
FEB,m,77,,,,,, ,,,3900,3900
FEB,m,54,,,,,, ,,,3830,3830
FEB,f,55,,,,,, ,,,3800,3800
FEB,m,51,,,,,, ,,,3800,3800
FEB,m,34,,,,,, ,,,3600,3600
FEB,m,24,,,,,, ,,,3500,4500
FEB,m,38,,,,,, ,,,3500,3500
FEB,m,36,,,,,, ,,,3500,3500
FEB,m,46,,,,,, ,,,3500,3500
FEB,m,33,,,,,, ,,,3480,4980
FEB,m,66,,,,,, ,,,3360,4110
FEB,m,34,,,,,, ,,,3300,3300
FEB,m,39,,,,,, ,,,3464,3464
