month,sex,age,rol,sector,n_employees,lf_job,employment_source,n_weeks_lf_job,education,ethnicity,main_src,total_src
feb,f,58,,,,,, ,,,3000,4900
feb,m,63,,,,,, ,,,2500,3200
feb,f,33,,,,,, ,,,1230,2230
feb,f,38,,,,,, ,,,1030,1530
feb,m,34,,,,,, ,,,1299,2449
feb,f,40,,,,,, ,,,1160,1780
feb,f,53,,,,,, ,,,879,1429
feb,m,40,,,,,, ,,,1750,1905
feb,f,55,,,,,, ,,,4500,5100
feb,f,50,,,,,, ,,,1600,2400
feb,f,57,,,,,, ,,,329,829
feb,f,39,,,,,, ,,,445,825
feb,f,48,,,,,, ,,,5000,6070
feb,f,45,,,,,, ,,,847,1407
feb,f,55,,,,,, ,,,189,399
feb,f,33,,,,,, ,,,1689,2139
feb,f,30,,,,,, ,,,1690,1890
feb,f,46,,,,,, ,,,900,1100
feb,f,63,,,,,, ,,,1200,1350
feb,f,34,,,,,, ,,,2372,2472
feb,f,53,,,,,, ,,,1000,1850
feb,f,61,,,,,, ,,,2198,2328
feb,f,53,,,,,, ,,,1140,1780
feb,f,61,,,,,, ,,,615,805
feb,f,38,,,,,, ,,,65,195
feb,f,38,,,,,, ,,,720,1270
feb,f,68,,,,,, ,,,687,1307
feb,f,30,,,,,, ,,,1083,1501
feb,m,38,,,,,, ,,,1500,1815
feb,m,60,,,,,, ,,,3000,4012
feb,f,24,,,,,, ,,,2200,2812
feb,f,53,,,,,, ,,,1200,1710
feb,f,44,,,,,, ,,,630,840
feb,f,44,,,,,, ,,,1040,1250
feb,f,77,,,,,, ,,,480,528
feb,f,36,,,,,, ,,,2800,3425
feb,f,56,,,,,, ,,,537,1632
feb,f,32,,,,,, ,,,754,1058
feb,f,37,,,,,, ,,,235,445
feb,m,30,,,,,, ,,,1504,2091
feb,f,49,,,,,, ,,,930,1497
feb,m,41,,,,,, ,,,30000,30000
feb,f,25,,,,,, ,,,10000,10000
feb,m,53,,,,,, ,,,10000,10000
feb,m,53,,,,,, ,,,10000,10000
feb,m,42,,,,,, ,,,10000,10000
feb,m,39,,,,,, ,,,10000,10000
feb,m,57,,,,,, ,,,9900,9900
feb,m,51,,,,,, ,,,8150,10150
feb,f,54,,,,,, ,,,8100,8100
feb,m,56,,,,,, ,,,7000,7000
feb,m,67,,,,,, ,,,6700,6700
feb,f,49,,,,,, ,,,5985,5985
feb,f,68,,,,,, ,,,5614,5614
feb,f,74,,,,,, ,,,5484,5484
feb,m,42,,,,,, ,,,5300,8300
feb,m,37,,,,,, ,,,5000,13000
feb,m,41,,,,,, ,,,5000,5000
feb,m,39,,,,,, ,,,5000,5000
feb,m,44,,,,,, ,,,5000,5000
feb,m,42,,,,,, ,,,5000,5000
feb,m,33,,,,,, ,,,5000,13000
feb,m,56,,,,,, ,,,5000,5000
feb,f,51,,,,,, ,,,5050,5050
feb,m,67,,,,,, ,,,5000,5000
feb,f,52,,,,,, ,,,5000,5000
feb,f,27,,,,,, ,,,4700,4700
feb,m,30,,,,,, ,,,4500,4500
feb,m,54,,,,,, ,,,4463,4463
feb,m,63,,,,,, ,,,4250,4250
feb,m,51,,,,,, ,,,4150,4150
feb,f,48,,,,,, ,,,4000,4000
feb,f,41,,,,,, ,,,4000,4000
feb,m,52,,,,,, ,,,4000,4000
feb,m,60,,,,,, ,,,3976,3976
feb,m,77,,,,,, ,,,3900,3900
feb,m,54,,,,,, ,,,3830,3830
feb,f,55,,,,,, ,,,3800,3800
feb,m,51,,,,,, ,,,3800,3800
feb,m,34,,,,,, ,,,3600,3600
feb,m,24,,,,,, ,,,3500,4500
feb,m,38,,,,,, ,,,3500,3500
feb,m,36,,,,,, ,,,3500,3500
feb,m,46,,,,,, ,,,3500,3500
feb,m,33,,,,,, ,,,3480,4980
feb,m,66,,,,,, ,,,3360,4110
feb,m,34,,,,,, ,,,3300,3300
feb,m,39,,,,,, ,,,3464,3464
feb,m,66,,,,,, ,,,3247,3247
feb,f,55,,,,,, ,,,3845,3845
feb,f,34,,,,,, ,,,3179,3179
feb,m,30,,,,,, ,,,3125,3125
