,month,gender,years,edu_lvl,etnicity,main_source,total
18307,NOV,f,32.0,tecnica_trunca,mestizo,1025.0,1025.0
18308,NOV,m,38.0,uni_completa,mestizo,8000.0,8000.0
18309,NOV,f,36.0,tecnica,mestizo,1500.0,1500.0
18310,NOV,m,46.0,secundaria,mestizo,1450.0,1450.0
18311,NOV,f,47.0,secundaria,mestizo,1000.0,1000.0
18312,NOV,m,20.0,secundaria,mestizo,250.0,250.0
18313,NOV,f,33.0,uni_completa,mestizo,4400.0,4400.0
18314,NOV,f,57.0,otro,mestizo,2200.0,2200.0
18315,NOV,f,44.0,maestria,mestizo,950.0,1950.0
18316,NOV,f,30.0,uni_completa,mestizo,1600.0,1600.0
18317,NOV,m,38.0,tecnica,mestizo,1500.0,1500.0
18318,NOV,m,52.0,secundaria,mestizo,1700.0,1700.0
18319,NOV,f,51.0,secundaria,afroperuano,520.0,520.0
18320,NOV,m,62.0,otro,quechua,2000.0,2000.0
18321,NOV,m,32.0,uni_completa,afroperuano,900.0,900.0
18322,NOV,f,27.0,tecnica,mestizo,1700.0,1700.0
18323,NOV,f,52.0,tecnica,mestizo,3000.0,3000.0
18324,NOV,f,64.0,uni_completa,mestizo,490.0,490.0
18325,NOV,f,39.0,maestria,mestizo,1025.0,1025.0
18326,NOV,f,61.0,secundaria,afroperuano,476.0,476.0
18327,NOV,m,25.0,uni_trunca,mestizo,1100.0,1100.0
18328,NOV,f,42.0,maestria,otro,4500.0,4500.0
18329,NOV,m,42.0,uni_completa,mestizo,6000.0,6000.0
18330,NOV,f,52.0,secundaria,quechua,1033.0,1033.0
18331,NOV,f,41.0,otro,mestizo,346.0,346.0
18332,NOV,m,45.0,otro,mestizo,1949.0,1949.0
18333,NOV,m,20.0,tecnica_trunca,quechua,1220.0,1220.0
18334,NOV,f,63.0,secundaria,mestizo,350.0,550.0
18335,NOV,m,39.0,secundaria,mestizo,816.0,816.0
18336,NOV,m,45.0,tecnica_trunca,mestizo,2200.0,2200.0
18337,NOV,m,41.0,tecnica,mestizo,5200.0,5200.0
18338,NOV,m,68.0,maestria,mestizo,8000.0,8000.0
18339,NOV,m,39.0,uni_completa,mestizo,1776.0,1776.0
18340,NOV,f,35.0,uni_completa,mestizo,1025.0,1025.0
18341,NOV,m,43.0,uni_completa,mestizo,5000.0,5000.0
18342,NOV,f,44.0,uni_completa,blanco,4860.0,4860.0
18343,NOV,m,42.0,secundaria,mestizo,1299.0,1299.0
18344,NOV,f,73.0,uni_completa,mestizo,173.0,173.0
18345,NOV,m,35.0,uni_trunca,mestizo,2200.0,2200.0
18346,NOV,f,29.0,tecnica,mestizo,1025.0,1025.0
18347,NOV,m,35.0,secundaria,mestizo,1560.0,2760.0
18348,NOV,m,47.0,secundaria,mestizo,2100.0,3100.0
18349,NOV,m,38.0,maestria,otro,6866.0,6866.0
18350,NOV,m,42.0,tecnica,otro,1200.0,1200.0
18351,NOV,m,42.0,tecnica,mestizo,3000.0,3000.0
18352,NOV,m,64.0,uni_completa,blanco,2000.0,2000.0
18353,NOV,m,48.0,tecnica,mestizo,3204.0,3204.0
18354,NOV,f,45.0,tecnica,mestizo,1025.0,1025.0
18355,NOV,f,22.0,uni_completa,mestizo,650.0,650.0
18356,NOV,m,66.0,uni_completa,mestizo,1500.0,1500.0
18357,NOV,f,57.0,uni_completa,mestizo,2500.0,2500.0
18358,NOV,m,32.0,uni_completa,mestizo,1800.0,1800.0
18359,NOV,f,53.0,maestria,mestizo,5400.0,5400.0
18360,NOV,m,37.0,secundaria,mestizo,2000.0,2000.0
18361,NOV,m,62.0,otro,quechua,830.0,830.0
18362,NOV,f,40.0,otro,quechua,867.0,867.0
18363,NOV,m,40.0,secundaria,mestizo,900.0,900.0
18364,NOV,m,23.0,secundaria,mestizo,1350.0,1350.0
18365,NOV,f,20.0,tecnica_trunca,mestizo,1035.0,1035.0
18366,NOV,f,45.0,secundaria,quechua,1325.0,1325.0
