age,sex,education,ethnicity,month,main_src,total_src
16.0,f,,,dic,150.0,150.0
16.0,f,,,dic,325.0,325.0
16.0,f,,,feb,100.0,100.0
16.0,f,,,feb,517.0,517.0
16.0,f,,,feb,693.0,693.0
16.0,f,,,feb,780.0,780.0
16.0,f,,,feb,1040.0,1040.0
16.0,f,,,jul,1025.0,1025.0
16.0,f,,,jul,1025.0,1025.0
16.0,f,,,jul,1025.0,1025.0
16.0,f,,,jun,216.0,376.0
16.0,f,,,jun,216.0,376.0
16.0,f,,,jun,216.0,376.0
16.0,f,,,jun,866.0,866.0
16.0,f,,,jun,866.0,866.0
16.0,f,,,jun,866.0,866.0
16.0,f,,,mar,120.0,120.0
16.0,f,,,mar,120.0,120.0
16.0,f,,,may,2538.0,2538.0
16.0,f,,,may,2538.0,2538.0
16.0,f,,,may,2538.0,2538.0
16.0,f,,,nov,173.0,173.0
16.0,f,,,nov,173.0,173.0
16.0,f,,,nov,1025.0,1025.0
16.0,f,,,nov,1025.0,1025.0
16.0,f,,,oct,433.0,433.0
16.0,f,,,oct,433.0,433.0
16.0,f,,,oct,433.0,433.0
16.0,f,,,oct,1273.0,1273.0
16.0,f,,,oct,1273.0,1273.0
16.0,f,,,oct,1273.0,1273.0
16.0,f,,,set,130.0,130.0
16.0,f,,,set,130.0,130.0
16.0,f,,,set,130.0,130.0
16.0,f,,,set,1083.0,1083.0
16.0,f,,,set,1083.0,1083.0
16.0,f,,,set,1083.0,1083.0
16.0,m,,,ago,120.0,120.0
16.0,m,,,ago,120.0,120.0
16.0,m,,,ago,120.0,120.0
16.0,m,,,ago,433.0,433.0
16.0,m,,,ago,433.0,433.0
16.0,m,,,ago,433.0,433.0
16.0,m,,,ago,537.0,537.0
16.0,m,,,ago,537.0,537.0
16.0,m,,,ago,537.0,537.0
16.0,m,,,ago,1250.0,1250.0
16.0,m,,,ago,1250.0,1250.0
16.0,m,,,ago,1250.0,1250.0
16.0,m,,,apr,517.0,517.0
16.0,m,,,apr,517.0,517.0
16.0,m,,,apr,517.0,517.0
16.0,m,,,apr,779.0,779.0
16.0,m,,,apr,779.0,779.0
16.0,m,,,apr,779.0,779.0
16.0,m,,,apr,903.0,903.0
16.0,m,,,apr,903.0,903.0
16.0,m,,,apr,903.0,903.0
16.0,m,,,dic,150.0,150.0
16.0,m,,,dic,200.0,200.0
16.0,m,,,dic,3283.0,3283.0
16.0,m,,,feb,433.0,433.0
16.0,m,,,feb,460.0,460.0
16.0,m,,,feb,520.0,520.0
16.0,m,,,feb,606.0,606.0
16.0,m,,,feb,1083.0,1083.0
16.0,m,,,jun,108.0,108.0
16.0,m,,,jun,108.0,108.0
16.0,m,,,jun,108.0,108.0
16.0,m,,,mar,520.0,520.0
16.0,m,,,mar,520.0,520.0
16.0,m,,,mar,1260.0,1260.0
16.0,m,,,mar,1260.0,1260.0
16.0,m,,,mar,1299.0,1299.0
16.0,m,,,mar,1299.0,1299.0
16.0,m,,,may,100.0,100.0
16.0,m,,,may,100.0,100.0
16.0,m,,,may,100.0,100.0
16.0,m,,,may,217.0,217.0
16.0,m,,,may,217.0,217.0
16.0,m,,,may,217.0,217.0
16.0,m,,,may,433.0,433.0
16.0,m,,,may,433.0,433.0
16.0,m,,,may,433.0,433.0
16.0,m,,,may,607.0,607.0
16.0,m,,,may,607.0,607.0
16.0,m,,,may,607.0,607.0
16.0,m,,,may,866.0,866.0
16.0,m,,,may,866.0,866.0
16.0,m,,,may,866.0,866.0
16.0,m,,,may,887.0,887.0
16.0,m,,,may,887.0,887.0
16.0,m,,,may,887.0,887.0
16.0,m,,,nov,350.0,350.0
16.0,m,,,nov,350.0,350.0
16.0,m,,,nov,606.0,606.0
16.0,m,,,nov,606.0,606.0
16.0,m,,,oct,866.0,866.0
16.0,m,,,oct,866.0,866.0
16.0,m,,,oct,866.0,866.0
16.0,m,,,set,108.0,108.0
16.0,m,,,set,108.0,108.0
16.0,m,,,set,108.0,108.0
16.0,m,,,set,455.0,455.0
16.0,m,,,set,455.0,455.0
16.0,m,,,set,455.0,455.0
16.0,m,,,set,650.0,650.0
16.0,m,,,set,650.0,650.0
16.0,m,,,set,650.0,650.0
16.0,m,,,set,650.0,650.0
16.0,m,,,set,650.0,650.0
16.0,m,,,set,650.0,650.0
16.0,m,,,set,1126.0,1126.0
16.0,m,,,set,1126.0,1126.0
16.0,m,,,set,1126.0,1126.0
17.0,f,,,ago,520.0,520.0
17.0,f,,,ago,520.0,520.0
17.0,f,,,ago,520.0,520.0
17.0,f,,,ago,930.0,930.0
17.0,f,,,ago,930.0,930.0
17.0,f,,,ago,930.0,930.0
17.0,f,,,apr,200.0,200.0
17.0,f,,,apr,200.0,200.0
17.0,f,,,apr,200.0,200.0
17.0,f,,,apr,1020.0,1020.0
17.0,f,,,apr,1020.0,1020.0
17.0,f,,,apr,1020.0,1020.0
17.0,f,,,apr,1025.0,1025.0
17.0,f,,,apr,1025.0,1025.0
17.0,f,,,apr,1025.0,1025.0
17.0,f,,,dic,200.0,200.0
17.0,f,,,dic,433.0,433.0
17.0,f,,,dic,2339.0,2339.0
17.0,f,,,feb,150.0,150.0
17.0,f,,,feb,650.0,650.0
17.0,f,,,feb,1057.0,1057.0
17.0,f,,,feb,1338.0,1418.0
17.0,f,,,feb,1674.0,1674.0
17.0,f,,,jul,173.0,173.0
17.0,f,,,jul,173.0,173.0
17.0,f,,,jul,173.0,173.0
17.0,f,,,jul,300.0,300.0
17.0,f,,,jul,300.0,300.0
17.0,f,,,jul,300.0,300.0
17.0,f,,,jul,901.0,901.0
17.0,f,,,jul,901.0,901.0
17.0,f,,,jul,901.0,901.0
17.0,f,,,jul,1299.0,1299.0
17.0,f,,,jul,1299.0,1299.0
17.0,f,,,jul,1299.0,1299.0
17.0,f,,,jun,433.0,433.0
17.0,f,,,jun,433.0,433.0
17.0,f,,,jun,433.0,433.0
17.0,f,,,jun,800.0,800.0
17.0,f,,,jun,800.0,800.0
17.0,f,,,jun,800.0,800.0
17.0,f,,,jun,1299.0,1299.0
17.0,f,,,jun,1299.0,1299.0
17.0,f,,,jun,1299.0,1299.0
17.0,f,,,mar,1169.0,1169.0
17.0,f,,,mar,1169.0,1169.0
17.0,f,,,mar,1667.0,1667.0
17.0,f,,,mar,1667.0,1667.0
17.0,f,,,may,216.0,216.0
17.0,f,,,may,216.0,216.0
17.0,f,,,may,216.0,216.0
17.0,f,,,may,281.0,281.0
17.0,f,,,may,281.0,281.0
17.0,f,,,may,281.0,281.0
17.0,f,,,may,1285.0,1285.0
17.0,f,,,may,1285.0,1285.0
17.0,f,,,may,1285.0,1285.0
17.0,f,,,may,1308.0,1308.0
17.0,f,,,may,1308.0,1308.0
17.0,f,,,may,1308.0,1308.0
17.0,f,,,nov,217.0,217.0
17.0,f,,,nov,217.0,217.0
17.0,f,,,nov,860.0,860.0
17.0,f,,,nov,860.0,860.0
17.0,f,,,nov,1083.0,1083.0
17.0,f,,,nov,1083.0,1083.0
17.0,f,,,oct,150.0,200.0
17.0,f,,,oct,150.0,200.0
17.0,f,,,oct,150.0,200.0
17.0,f,,,oct,780.0,780.0
17.0,f,,,oct,780.0,780.0
17.0,f,,,oct,780.0,780.0
17.0,f,,,oct,1299.0,1299.0
17.0,f,,,oct,1299.0,1299.0
17.0,f,,,oct,1299.0,1299.0
17.0,f,,,set,260.0,260.0
17.0,f,,,set,260.0,260.0
17.0,f,,,set,260.0,260.0
17.0,f,,,set,693.0,693.0
17.0,f,,,set,693.0,693.0
17.0,f,,,set,693.0,693.0
17.0,f,,,set,840.0,840.0
17.0,f,,,set,840.0,840.0
17.0,f,,,set,840.0,840.0
17.0,f,,,set,866.0,866.0
17.0,f,,,set,866.0,866.0
17.0,f,,,set,866.0,866.0
17.0,f,,,set,1083.0,1083.0
17.0,f,,,set,1083.0,1083.0
17.0,f,,,set,1083.0,1083.0
17.0,f,,,set,1200.0,1200.0
17.0,f,,,set,1200.0,1200.0
17.0,f,,,set,1200.0,1200.0
17.0,m,,,ago,130.0,130.0
17.0,m,,,ago,130.0,130.0
17.0,m,,,ago,130.0,130.0
17.0,m,,,ago,180.0,180.0
17.0,m,,,ago,180.0,180.0
17.0,m,,,ago,180.0,180.0
17.0,m,,,ago,303.0,303.0
17.0,m,,,ago,303.0,303.0
17.0,m,,,ago,303.0,303.0
17.0,m,,,ago,303.0,303.0
17.0,m,,,ago,303.0,303.0
17.0,m,,,ago,303.0,303.0
17.0,m,,,ago,640.0,640.0
17.0,m,,,ago,640.0,640.0
17.0,m,,,ago,640.0,640.0
17.0,m,,,ago,1212.0,1362.0
17.0,m,,,ago,1212.0,1362.0
17.0,m,,,ago,1212.0,1362.0
17.0,m,,,ago,1689.0,1689.0
17.0,m,,,ago,1689.0,1689.0
17.0,m,,,ago,1689.0,1689.0
17.0,m,,,apr,346.0,346.0
17.0,m,,,apr,346.0,346.0
17.0,m,,,apr,346.0,346.0
17.0,m,,,apr,520.0,520.0
17.0,m,,,apr,520.0,520.0
17.0,m,,,apr,520.0,520.0
17.0,m,,,apr,650.0,650.0
17.0,m,,,apr,650.0,650.0
17.0,m,,,apr,650.0,650.0
17.0,m,,,apr,700.0,700.0
17.0,m,,,apr,700.0,700.0
17.0,m,,,apr,700.0,700.0
17.0,m,,,apr,779.0,779.0
17.0,m,,,apr,779.0,779.0
17.0,m,,,apr,779.0,779.0
17.0,m,,,apr,779.0,779.0
17.0,m,,,apr,779.0,779.0
17.0,m,,,apr,779.0,779.0
17.0,m,,,apr,1040.0,1040.0
17.0,m,,,apr,1040.0,1040.0
17.0,m,,,apr,1040.0,1040.0
17.0,m,,,apr,1200.0,1200.0
17.0,m,,,apr,1200.0,1200.0
17.0,m,,,apr,1200.0,1200.0
17.0,m,,,apr,1212.0,1212.0
17.0,m,,,apr,1212.0,1212.0
17.0,m,,,apr,1212.0,1212.0
17.0,m,,,apr,1579.0,1579.0
