month,gender,years,rol,sector,n_employees,lf_job,employment_source,n_weeks_lf_job,edu_lvl,etnicity,1st_source,total
FEB,f,58.0,nan,nan,nan,True,nan,,nan,nan,3000.0,4900.0
FEB,m,63.0,nan,nan,nan,True,nan,,nan,nan,2500.0,3200.0
FEB,f,33.0,nan,nan,nan,True,nan,,nan,nan,1230.0,2230.0
FEB,f,38.0,nan,nan,nan,True,nan,,nan,nan,1030.0,1530.0
FEB,m,34.0,nan,nan,nan,True,nan,,nan,nan,1299.0,2449.0
FEB,f,40.0,nan,nan,nan,True,nan,,nan,nan,1160.0,1780.0
FEB,f,53.0,nan,nan,nan,True,nan,,nan,nan,879.0,1429.0
FEB,m,40.0,nan,nan,nan,True,nan,,nan,nan,1750.0,1905.0
FEB,f,55.0,nan,nan,nan,True,nan,,nan,nan,4500.0,5100.0
FEB,f,50.0,nan,nan,nan,True,nan,,nan,nan,1600.0,2400.0
FEB,f,57.0,nan,nan,nan,True,nan,,nan,nan,329.0,829.0
FEB,f,39.0,nan,nan,nan,True,nan,,nan,nan,445.0,825.0
FEB,f,48.0,nan,nan,nan,True,nan,,nan,nan,5000.0,6070.0
FEB,f,45.0,nan,nan,nan,True,nan,,nan,nan,847.0,1407.0
FEB,f,55.0,nan,nan,nan,True,nan,,nan,nan,189.0,399.0
FEB,f,33.0,nan,nan,nan,True,nan,,nan,nan,1689.0,2139.0
FEB,f,30.0,nan,nan,nan,True,nan,,nan,nan,1690.0,1890.0
FEB,f,46.0,nan,nan,nan,True,nan,,nan,nan,900.0,1100.0
FEB,f,63.0,nan,nan,nan,True,nan,,nan,nan,1200.0,1350.0
FEB,f,34.0,nan,nan,nan,True,nan,,nan,nan,2372.0,2472.0
FEB,f,53.0,nan,nan,nan,True,nan,,nan,nan,1000.0,1850.0
FEB,f,61.0,nan,nan,nan,True,nan,,nan,nan,2198.0,2328.0
FEB,f,53.0,nan,nan,nan,True,nan,,nan,nan,1140.0,1780.0
FEB,f,61.0,nan,nan,nan,True,nan,,nan,nan,615.0,805.0
FEB,f,38.0,nan,nan,nan,True,nan,,nan,nan,65.0,195.0
FEB,f,38.0,nan,nan,nan,True,nan,,nan,nan,720.0,1270.0
FEB,f,68.0,nan,nan,nan,True,nan,,nan,nan,687.0,1307.0
FEB,f,30.0,nan,nan,nan,True,nan,,nan,nan,1083.0,1501.0
FEB,m,38.0,nan,nan,nan,True,nan,,nan,nan,1500.0,1815.0
FEB,m,60.0,nan,nan,nan,True,nan,,nan,nan,3000.0,4012.0
FEB,f,24.0,nan,nan,nan,True,nan,,nan,nan,2200.0,2812.0
FEB,f,53.0,nan,nan,nan,True,nan,,nan,nan,1200.0,1710.0
FEB,f,44.0,nan,nan,nan,True,nan,,nan,nan,630.0,840.0
FEB,f,44.0,nan,nan,nan,True,nan,,nan,nan,1040.0,1250.0
FEB,f,36.0,nan,nan,nan,True,nan,,nan,nan,2800.0,3425.0
FEB,f,56.0,nan,nan,nan,True,nan,,nan,nan,537.0,1632.0
FEB,f,32.0,nan,nan,nan,True,nan,,nan,nan,754.0,1058.0
FEB,f,37.0,nan,nan,nan,True,nan,,nan,nan,235.0,445.0
FEB,m,30.0,nan,nan,nan,True,nan,,nan,nan,1504.0,2091.0
FEB,f,49.0,nan,nan,nan,True,nan,,nan,nan,930.0,1497.0
FEB,m,56.0,nan,nan,nan,True,nan,,nan,nan,7000.0,7000.0
FEB,m,67.0,nan,nan,nan,True,nan,,nan,nan,6700.0,6700.0
FEB,f,49.0,nan,nan,nan,True,nan,,nan,nan,5985.0,5985.0
FEB,f,68.0,nan,nan,nan,True,nan,,nan,nan,5614.0,5614.0
FEB,f,74.0,nan,nan,nan,True,nan,,nan,nan,5484.0,5484.0
FEB,m,41.0,nan,nan,nan,True,nan,,nan,nan,5000.0,5000.0
FEB,m,39.0,nan,nan,nan,True,nan,,nan,nan,5000.0,5000.0
FEB,m,44.0,nan,nan,nan,True,nan,,nan,nan,5000.0,5000.0
FEB,m,42.0,nan,nan,nan,True,nan,,nan,nan,5000.0,5000.0
FEB,m,56.0,nan,nan,nan,True,nan,,nan,nan,5000.0,5000.0
FEB,f,51.0,nan,nan,nan,True,nan,,nan,nan,5050.0,5050.0
FEB,m,67.0,nan,nan,nan,True,nan,,nan,nan,5000.0,5000.0
FEB,f,52.0,nan,nan,nan,True,nan,,nan,nan,5000.0,5000.0
FEB,f,27.0,nan,nan,nan,True,nan,,nan,nan,4700.0,4700.0
FEB,m,30.0,nan,nan,nan,True,nan,,nan,nan,4500.0,4500.0
FEB,m,54.0,nan,nan,nan,True,nan,,nan,nan,4463.0,4463.0
FEB,m,63.0,nan,nan,nan,True,nan,,nan,nan,4250.0,4250.0
FEB,m,51.0,nan,nan,nan,True,nan,,nan,nan,4150.0,4150.0
FEB,f,48.0,nan,nan,nan,True,nan,,nan,nan,4000.0,4000.0
