month,gender,years,rol,sector,n_employees,lf_job,employment_source,n_weeks_lf_job,edu_lvl,etnicity,1st_source,total
FEB,f,58.0,,,,True,,,,,3000.0,4900.0
FEB,f,33.0,,,,True,,,,,1230.0,2230.0
FEB,f,38.0,,,,True,,,,,1030.0,1530.0
FEB,f,40.0,,,,True,,,,,1160.0,1780.0
FEB,f,53.0,,,,True,,,,,879.0,1429.0
FEB,f,55.0,,,,True,,,,,4500.0,5100.0
FEB,f,50.0,,,,True,,,,,1600.0,2400.0
FEB,f,57.0,,,,True,,,,,329.0,829.0
FEB,f,39.0,,,,True,,,,,445.0,825.0
FEB,f,48.0,,,,True,,,,,5000.0,6070.0
FEB,f,45.0,,,,True,,,,,847.0,1407.0
FEB,f,55.0,,,,True,,,,,189.0,399.0
FEB,f,33.0,,,,True,,,,,1689.0,2139.0
FEB,f,30.0,,,,True,,,,,1690.0,1890.0
FEB,f,46.0,,,,True,,,,,900.0,1100.0
FEB,f,63.0,,,,True,,,,,1200.0,1350.0
FEB,f,34.0,,,,True,,,,,2372.0,2472.0
FEB,f,53.0,,,,True,,,,,1000.0,1850.0
FEB,f,61.0,,,,True,,,,,2198.0,2328.0
FEB,f,53.0,,,,True,,,,,1140.0,1780.0
FEB,f,61.0,,,,True,,,,,615.0,805.0
FEB,f,38.0,,,,True,,,,,65.0,195.0
FEB,f,38.0,,,,True,,,,,720.0,1270.0
FEB,f,68.0,,,,True,,,,,687.0,1307.0
FEB,f,30.0,,,,True,,,,,1083.0,1501.0
FEB,f,24.0,,,,True,,,,,2200.0,2812.0
FEB,f,53.0,,,,True,,,,,1200.0,1710.0
FEB,f,44.0,,,,True,,,,,630.0,840.0
FEB,f,44.0,,,,True,,,,,1040.0,1250.0
FEB,f,36.0,,,,True,,,,,2800.0,3425.0
FEB,f,56.0,,,,True,,,,,537.0,1632.0
FEB,f,32.0,,,,True,,,,,754.0,1058.0
FEB,f,37.0,,,,True,,,,,235.0,445.0
FEB,f,49.0,,,,True,,,,,930.0,1497.0
FEB,f,49.0,,,,True,,,,,5985.0,5985.0
