month,gender,years,rol,sector,n_employees,lf_job,employment_source,n_weeks_lf_job,edu_lvl,etnicity,1st_source,total
FEB,m,63.0,,,,True,,,,,2500.0,3200.0
FEB,m,34.0,,,,True,,,,,1299.0,2449.0
FEB,m,40.0,,,,True,,,,,1750.0,1905.0
FEB,m,38.0,,,,True,,,,,1500.0,1815.0
FEB,m,60.0,,,,True,,,,,3000.0,4012.0
FEB,m,30.0,,,,True,,,,,1504.0,2091.0
FEB,m,56.0,,,,True,,,,,7000.0,7000.0
FEB,m,67.0,,,,True,,,,,6700.0,6700.0
FEB,m,41.0,,,,True,,,,,5000.0,5000.0
FEB,m,39.0,,,,True,,,,,5000.0,5000.0
FEB,m,44.0,,,,True,,,,,5000.0,5000.0
FEB,m,42.0,,,,True,,,,,5000.0,5000.0
FEB,m,56.0,,,,True,,,,,5000.0,5000.0
FEB,m,67.0,,,,True,,,,,5000.0,5000.0
FEB,m,30.0,,,,True,,,,,4500.0,4500.0
FEB,m,54.0,,,,True,,,,,4463.0,4463.0
FEB,m,63.0,,,,True,,,,,4250.0,4250.0
FEB,m,51.0,,,,True,,,,,4150.0,4150.0
FEB,m,52.0,,,,True,,,,,4000.0,4000.0
FEB,m,60.0,,,,True,,,,,3976.0,3976.0
FEB,m,54.0,,,,True,,,,,3830.0,3830.0
FEB,m,51.0,,,,True,,,,,3800.0,3800.0
FEB,m,34.0,,,,True,,,,,3600.0,3600.0
FEB,m,24.0,,,,True,,,,,3500.0,4500.0
FEB,m,38.0,,,,True,,,,,3500.0,3500.0
FEB,m,36.0,,,,True,,,,,3500.0,3500.0
FEB,m,46.0,,,,True,,,,,3500.0,3500.0
FEB,m,33.0,,,,True,,,,,3480.0,4980.0
FEB,m,66.0,,,,True,,,,,3360.0,4110.0
FEB,m,34.0,,,,True,,,,,3300.0,3300.0
FEB,m,39.0,,,,True,,,,,3464.0,3464.0
FEB,m,66.0,,,,True,,,,,3247.0,3247.0
FEB,m,30.0,,,,True,,,,,3125.0,3125.0
FEB,m,37.0,,,,True,,,,,3000.0,3000.0
FEB,m,47.0,,,,True,,,,,3000.0,3000.0
FEB,m,34.0,,,,True,,,,,3000.0,3000.0
FEB,m,37.0,,,,True,,,,,3200.0,3200.0
FEB,m,50.0,,,,True,,,,,2865.0,2865.0
FEB,m,42.0,,,,True,,,,,2845.0,2845.0
FEB,m,38.0,,,,True,,,,,2820.0,2820.0
FEB,m,57.0,,,,True,,,,,2700.0,2700.0
FEB,m,40.0,,,,True,,,,,2687.0,2687.0
FEB,m,31.0,,,,True,,,,,2680.0,2980.0
FEB,m,51.0,,,,True,,,,,2635.0,3135.0
FEB,m,39.0,,,,True,,,,,2631.0,2631.0
FEB,m,35.0,,,,True,,,,,2600.0,2600.0
FEB,m,53.0,,,,True,,,,,2600.0,2600.0
FEB,m,55.0,,,,True,,,,,2560.0,2560.0
FEB,m,39.0,,,,True,,,,,2600.0,2600.0
FEB,m,49.0,,,,True,,,,,2536.0,2536.0
FEB,m,43.0,,,,True,,,,,2520.0,2520.0
FEB,m,32.0,,,,True,,,,,2500.0,2500.0
FEB,m,34.0,,,,True,,,,,2500.0,2500.0
FEB,m,34.0,,,,True,,,,,2500.0,2500.0
FEB,m,41.0,,,,True,,,,,2500.0,2500.0
FEB,m,27.0,,,,True,,,,,2500.0,2500.0
FEB,m,64.0,,,,True,,,,,2500.0,2500.0
FEB,m,51.0,,,,True,,,,,2900.0,2900.0
FEB,m,41.0,,,,True,,,,,2500.0,2500.0
