age,sex,education,ethnicity,month,main_src,total_src
32.0,f,tecnica_trunca,mestizo,nov,1025.0,1025.0
38.0,m,uni_completa,mestizo,nov,8000.0,8000.0
36.0,f,tecnica,mestizo,nov,1500.0,1500.0
46.0,m,secundaria,mestizo,nov,1450.0,1450.0
47.0,f,secundaria,mestizo,nov,1000.0,1000.0
20.0,m,secundaria,mestizo,nov,250.0,250.0
33.0,f,uni_completa,mestizo,nov,4400.0,4400.0
57.0,f,otro,mestizo,nov,2200.0,2200.0
44.0,f,maestria,mestizo,nov,950.0,1950.0
30.0,f,uni_completa,mestizo,nov,1600.0,1600.0
38.0,m,tecnica,mestizo,nov,1500.0,1500.0
52.0,m,secundaria,mestizo,nov,1700.0,1700.0
51.0,f,secundaria,afroperuano,nov,520.0,520.0
62.0,m,otro,quechua,nov,2000.0,2000.0
32.0,m,uni_completa,afroperuano,nov,900.0,900.0
27.0,f,tecnica,mestizo,nov,1700.0,1700.0
52.0,f,tecnica,mestizo,nov,3000.0,3000.0
64.0,f,uni_completa,mestizo,nov,490.0,490.0
39.0,f,maestria,mestizo,nov,1025.0,1025.0
61.0,f,secundaria,afroperuano,nov,476.0,476.0
25.0,m,uni_trunca,mestizo,nov,1100.0,1100.0
42.0,f,maestria,otro,nov,4500.0,4500.0
42.0,m,uni_completa,mestizo,nov,6000.0,6000.0
52.0,f,secundaria,quechua,nov,1033.0,1033.0
41.0,f,otro,mestizo,nov,346.0,346.0
45.0,m,otro,mestizo,nov,1949.0,1949.0
20.0,m,tecnica_trunca,quechua,nov,1220.0,1220.0
63.0,f,secundaria,mestizo,nov,350.0,550.0
39.0,m,secundaria,mestizo,nov,816.0,816.0
45.0,m,tecnica_trunca,mestizo,nov,2200.0,2200.0
41.0,m,tecnica,mestizo,nov,5200.0,5200.0
68.0,m,maestria,mestizo,nov,8000.0,8000.0
39.0,m,uni_completa,mestizo,nov,1776.0,1776.0
35.0,f,uni_completa,mestizo,nov,1025.0,1025.0
43.0,m,uni_completa,mestizo,nov,5000.0,5000.0
44.0,f,uni_completa,blanco,nov,4860.0,4860.0
42.0,m,secundaria,mestizo,nov,1299.0,1299.0
73.0,f,uni_completa,mestizo,nov,173.0,173.0
35.0,m,uni_trunca,mestizo,nov,2200.0,2200.0
29.0,f,tecnica,mestizo,nov,1025.0,1025.0
35.0,m,secundaria,mestizo,nov,1560.0,2760.0
47.0,m,secundaria,mestizo,nov,2100.0,3100.0
38.0,m,maestria,otro,nov,6866.0,6866.0
39.0,f,maestria,blanco,nov,10000.0,10000.0
42.0,m,tecnica,otro,nov,1200.0,1200.0
42.0,m,tecnica,mestizo,nov,3000.0,3000.0
64.0,m,uni_completa,blanco,nov,2000.0,2000.0
48.0,m,tecnica,mestizo,nov,3204.0,3204.0
45.0,f,tecnica,mestizo,nov,1025.0,1025.0
22.0,f,uni_completa,mestizo,nov,650.0,650.0
66.0,m,uni_completa,mestizo,nov,1500.0,1500.0
57.0,f,uni_completa,mestizo,nov,2500.0,2500.0
32.0,m,uni_completa,mestizo,nov,1800.0,1800.0
53.0,f,maestria,mestizo,nov,5400.0,5400.0
37.0,m,secundaria,mestizo,nov,2000.0,2000.0
62.0,m,otro,quechua,nov,830.0,830.0
40.0,f,otro,quechua,nov,867.0,867.0
40.0,m,secundaria,mestizo,nov,900.0,900.0
23.0,m,secundaria,mestizo,nov,1350.0,1350.0
20.0,f,tecnica_trunca,mestizo,nov,1035.0,1035.0
45.0,f,secundaria,quechua,nov,1325.0,1325.0
22.0,m,tecnica_trunca,mestizo,nov,1500.0,1500.0
20.0,f,tecnica_trunca,mestizo,nov,1200.0,1200.0
36.0,m,secundaria,mestizo,nov,5161.0,5161.0
33.0,f,uni_trunca,mestizo,nov,3200.0,3200.0
25.0,f,tecnica,mestizo,nov,1500.0,1500.0
32.0,f,secundaria,mestizo,nov,1500.0,1500.0
32.0,m,tecnica_trunca,mestizo,nov,500.0,500.0
24.0,f,tecnica,quechua,nov,1400.0,1400.0
62.0,m,uni_completa,mestizo,nov,8000.0,8000.0
46.0,f,tecnica,blanco,nov,1200.0,1200.0
32.0,m,secundaria,mestizo,nov,3031.0,3031.0
64.0,m,secundaria,otro,nov,910.0,910.0
50.0,f,uni_completa,mestizo,nov,2500.0,2500.0
32.0,f,tecnica,mestizo,nov,1000.0,1000.0
34.0,m,tecnica,otro,nov,1930.0,1930.0
33.0,m,secundaria,quechua,nov,1245.0,1245.0
67.0,f,secundaria,mestizo,nov,996.0,996.0
60.0,f,secundaria,mestizo,nov,150.0,150.0
57.0,m,otro,mestizo,nov,228.0,228.0
64.0,m,uni_completa,mestizo,nov,1395.0,1395.0
29.0,m,secundaria,mestizo,nov,1300.0,1300.0
58.0,f,secundaria,mestizo,nov,1650.0,1650.0
59.0,m,secundaria,quechua,nov,1800.0,1800.0
54.0,f,secundaria,mestizo,nov,303.0,303.0
